target_id,synthetic_trace,batch_id,source_event_id,source_crs,target_crs,ingress_gate_status,assigned_effector,authorization_level,assignment_probability,simulated_outcome,seed,time_path,evidence_scope,observed_ms,track_stable_ms,ingress_and_crs_gate_ms,fused_ms,threat_classified_ms,c2_available_ms,wta_assigned_ms,authorization_decided_ms,command_delivered_ms,aim_complete_ms,effect_arrived_ms,feedback_recorded_ms,full_loop_ms
Threat_11,True,BATCH-ZX2026-20-001,SYN-RADAR-007-011,OGC:CRS84,EPSG:32651,ACCEPT,HPM,L3,0.6174,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,343,570,613,936,1031,1085,1252,1802,1849,2069,2219,2571,2521
Threat_12,True,BATCH-ZX2026-20-001,SYN-RADAR-007-012,OGC:CRS84,EPSG:32651,ACCEPT,HPM,L3,0.612266,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,348,575,618,941,1036,1090,1257,1807,1854,2074,2224,2576,2521
Threat_13,True,BATCH-ZX2026-20-001,SYN-RADAR-007-013,OGC:CRS84,EPSG:32651,ACCEPT,EW,L2,0.244845,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,353,580,623,946,1041,1095,1262,1812,1859,2079,2229,2581,2521
Threat_14,True,BATCH-ZX2026-20-001,SYN-RADAR-007-014,OGC:CRS84,EPSG:32651,ACCEPT,EW,L2,0.242843,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,358,585,628,951,1046,1100,1267,1817,1864,2084,2234,2586,2521
Threat_15,True,BATCH-ZX2026-20-001,SYN-RADAR-007-015,OGC:CRS84,EPSG:32651,ACCEPT,EW,L2,0.240872,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,363,590,633,956,1051,1105,1272,1822,1869,2089,2239,2591,2521
Threat_16,True,BATCH-ZX2026-20-001,SYN-RADAR-007-016,OGC:CRS84,EPSG:32651,ACCEPT,EW,L2,0.238934,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,368,595,638,961,1056,1110,1277,1827,1874,2094,2244,2596,2521
Threat_17,True,BATCH-ZX2026-20-001,SYN-RADAR-007-017,OGC:CRS84,EPSG:32651,ACCEPT,EW,L2,0.237026,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,373,600,643,966,1061,1115,1282,1832,1879,2099,2249,2601,2521
Threat_18,True,BATCH-ZX2026-20-001,SYN-RADAR-007-018,OGC:CRS84,EPSG:32651,ACCEPT,EW,L2,0.235149,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,378,605,648,971,1066,1120,1287,1837,1884,2104,2254,2606,2521
Threat_19,True,BATCH-ZX2026-20-001,SYN-RADAR-007-019,OGC:CRS84,EPSG:32651,ACCEPT,EW,L2,0.233301,FAILED,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,383,610,653,976,1071,1125,1292,1842,1889,2109,2259,2611,2521
Threat_20,True,BATCH-ZX2026-20-001,SYN-RADAR-007-020,OGC:CRS84,EPSG:32651,ACCEPT,EW,L2,0.231481,SUCCESS,20260812,scaled_mode_without_exception_rework,参数化合成毫秒流水账；非实装遥测、非现场测试、非性能承诺,388,615,658,981,1076,1130,1297,1847,1894,2114,2264,2616,2521
